,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
68,8826645659fffff,0.5,0.0,0.7033873315290591
69,882664565dfffff,0.4,0.0,0.6951161900943909
70,8826645661fffff,0.4,0.0,0.672261632203902
71,8826645663fffff,0.5,0.0,0.6282494100805588
72,8826645665fffff,0.2,0.0,0.4169389125699905
73,8826645667fffff,0.1111111111111111,0.0,0.612284520250246
74,8826645669fffff,0.2631578947368421,0.0,0.7201959204554385
75,882664566bfffff,0.3333333333333333,0.0,0.6865047541423286
76,882664566dfffff,0.2083333333333333,0.0,0.7195565561341792
77,88266456c5fffff,0.3333333333333333,0.0,0.6529347687885181
78,88266456c9fffff,0.0,0.0,0.5450174053110898
79,88266456cdfffff,0.3333333333333333,0.0,0.592468515614816
80,8826645701fffff,0.25,0.0,0.8260187766600865
81,8826645709fffff,0.0,0.0,0.5532100317555086
82,8826645751fffff,0.2884615384615384,0.0,0.7633037854596636
83,8826645753fffff,0.1363636363636363,0.0,0.7273729983101465
84,8826645759fffff,0.2432432432432432,0.0,0.6827978205735825
85,882664575bfffff,0.4444444444444444,0.0,0.7794296747530284
86,882664575dfffff,0.1875,0.0,0.8471785851534713
87,882664c101fffff,0.2535885167464115,0.0,0.6499492212070945
88,882664c105fffff,0.2766497461928934,0.0,0.7133368788984215
89,882664c107fffff,0.3663663663663664,0.0,0.7873299210407195
90,882664c10dfffff,0.3347107438016529,0.0,0.7799353271004005
91,882664c121fffff,0.267515923566879,0.0,0.7849030266711714
92,882664c123fffff,0.2191011235955056,0.0,0.8361883287887935
93,882664c125fffff,0.2747252747252747,0.0,0.7954609825459883
94,882664c127fffff,0.2051282051282051,0.0,0.831933456355244
95,882664c129fffff,0.2325581395348837,0.0,0.8103986911880503
96,882664c12bfffff,0.3481481481481481,0.0,0.7943814411178407
97,882664c12dfffff,0.3291139240506329,0.0,0.8223335935639241
98,882664c131fffff,0.2374581939799331,0.0,0.8146159195354314
99,882664c133fffff,0.2542372881355932,0.0,0.9143682027579448
100,882664c135fffff,0.2035928143712574,0.0,0.8348492433283704
101,882664c137fffff,0.217391304347826,0.0,0.8733823204343278
102,882664c139fffff,0.3820224719101123,0.0,0.7673530319261382
103,882664c13bfffff,0.3387755102040816,0.0,0.8279394712838355
104,882664c13dfffff,0.2194092827004219,0.0,0.7788372584763522
105,882664c161fffff,0.5119617224880383,1.0,0.7645745807191419
106,882664c163fffff,0.3519163763066202,0.0,0.8318743535600315
107,882664c165fffff,0.2885906040268456,0.0,0.8315891037756528
108,882664c167fffff,0.1778425655976676,0.0,0.788313979465403
109,882664c169fffff,0.3464566929133858,0.0,0.8208481857603228
110,882664c16bfffff,0.4519774011299435,0.0,0.8302865547231363
111,882664c16dfffff,0.3658536585365853,0.0,0.8189647884400194
112,882664c185fffff,0.6571428571428571,1.0,0.7319096062066212
113,882664c18dfffff,0.5555555555555556,1.0,0.859396286903514
114,882664c1a1fffff,0.2206896551724138,0.0,0.6377563867498051
115,882664c1a3fffff,0.2970711297071129,0.0,0.8254819727257353
116,882664c1a5fffff,0.2633928571428571,0.0,0.7557781168092662
117,882664c1a7fffff,0.3506493506493506,0.0,0.7928553844784102
118,882664c1a9fffff,0.1511013215859031,0.0,0.5003851368450424
119,882664c1abfffff,0.2619047619047619,0.0,0.7923678608089109
120,882664c1adfffff,0.1687116564417178,0.0,0.4663248538172169
121,882664c1b1fffff,0.7368421052631579,1.0,0.6661287071521018
122,882664c1b5fffff,0.1975308641975308,0.0,0.8228882332965889
123,882664c1b7fffff,0.4113475177304964,0.0,0.7938935066604357
124,882664c1bdfffff,0.3015873015873015,0.0,0.7649716582335437
125,882664c1c7fffff,0.5135135135135135,1.0,0.5995626722705687
126,882664c1e1fffff,0.2631987577639751,0.0,0.7310233091309905
127,882664c1e3fffff,0.2404580152671755,0.0,0.6550104370807026
128,882664c1e5fffff,0.200652528548124,0.0,0.8025390182298032
129,882664c1e7fffff,0.2755905511811024,0.0,0.5351768470465944
130,882664c1ebfffff,0.2690355329949238,0.0,0.7189822122840721
131,882664c1edfffff,0.2821670428893905,0.0,0.8046246736352531
132,882664c801fffff,0.2777777777777778,0.0,0.692959897575429
133,882664c803fffff,0.2222222222222222,0.0,0.8028582888522863
134,882664c809fffff,0.2857142857142857,0.0,0.7122999278433712
135,882664c80bfffff,0.4444444444444444,0.0,0.7291363431569758
136,882664c811fffff,0.4,0.0,0.781123525780459
137,882664c815fffff,0.4,0.0,0.7965818965893672
138,882664c817fffff,0.625,1.0,0.8214891077254532
139,882664c819fffff,0.1052631578947368,0.0,0.7405122123902438
140,882664c81bfffff,0.25,0.0,0.6346593268121976
