hex_index,polygon
8827593433fffff,"POLYGON ((-87.9156977055476 41.982637288299316, -87.9217350168019 41.98081505247764, -87.92235507192665 41.976157933359005, -87.9169389761855 41.973323101475245, -87.9109023827238 41.975144876970674, -87.91028116724138 41.97980194462332, -87.9156977055476 41.982637288299316))"
882664cd83fffff,"POLYGON ((-87.66042952854785 41.73376369769253, -87.66644823329166 41.731961527140065, -87.6670909839912 41.72731842464715, -87.6617161771121 41.72447754984088, -87.65569819107365 41.726279265113234, -87.65505429324108 41.730922310419665, -87.66042952854785 41.73376369769253))"
882664c803fffff,"POLYGON ((-87.76012945912849 41.89102756275123, -87.76616327356375 41.88921580470856, -87.7667980139118 41.884563797949156, -87.7614000951448 41.881723604108124, -87.75536700094467 41.883534904450975, -87.75473110530812 41.88818685628207, -87.76012945912849 41.89102756275123))"
882664cc55fffff,"POLYGON ((-87.60038785760278 41.79178117993518, -87.6064173506658 41.789980318246464, -87.60706703573146 41.78533390730435, -87.60168837757868 41.78248841647092, -87.59565960704678 41.78428882320854, -87.59500877216925 41.788935175678276, -87.60038785760278 41.79178117993518))"
882664cc4dfffff,"POLYGON ((-87.61458147664726 41.81426062088256, -87.62061313775376 41.81245839364918, -87.62126168898693 41.80781070776886, -87.61587973012512 41.80496530722144, -87.60984879177474 41.806767079158014, -87.60919908956272 41.81141470688639, -87.61458147664726 41.81426062088256))"
882664c129fffff,"POLYGON ((-87.6609277473747 41.93859943263908, -87.66697315790843 41.93679126231566, -87.66761870943515 41.93213654463047, -87.66222000780776 41.92929005429617, -87.65617532236065 41.93109776781867, -87.6555286134869 41.93575242842374, -87.6609277473747 41.93859943263908))"
882664cf4dfffff,"POLYGON ((-87.64775172815817 41.86672642966632, -87.65378845065045 41.86492101212752, -87.65443434657124 41.860270356138166, -87.64904467373924 41.857425175037214, -87.64300867452583 41.85923013647218, -87.64236162489804 41.8638807350594, -87.64775172815817 41.86672642966632))"
882664cf67fffff,"POLYGON ((-87.67921624635183 41.84839662013107, -87.68524887579528 41.846590160266715, -87.68589130032419 41.841940547976066, -87.68050224833881 41.83909745221893, -87.67447034053845 41.84090345571758, -87.67382676311263 41.84555301128656, -87.67921624635183 41.84839662013107))"
882664ca2dfffff,"POLYGON ((-87.75249479459073 41.94687342940655, -87.7585363253543 41.94506042197156, -87.75917261487707 41.94040525670178, -87.75376853172992 41.93756315388174, -87.74772772320502 41.939375703299504, -87.74709027562048 41.94403081350185, -87.75249479459073 41.94687342940655))"
882664c1b1fffff,"POLYGON ((-87.61347038938916 41.86360034164271, -87.61950855241903 41.86179673413452, -87.62015790918917 41.85714625110374, -87.61477025639705 41.85429943368295, -87.60873281770539 41.85610258554422, -87.60808230750042 41.86075301042068, -87.61347038938916 41.86360034164271))"
882664c819fffff,"POLYGON ((-87.73726433532063 41.88896730992013, -87.74329912097778 41.88715675745201, -87.74393617181492 41.88250486080029, -87.73853959213929 41.879663571994534, -87.73250552742806 41.88147366706552, -87.73186732147843 41.88612550828681, -87.73726433532063 41.88896730992013))"
882664ccb9fffff,"POLYGON ((-87.58734546552422 41.720020338040634, -87.59336631273563 41.71822222057924, -87.59401632096083 41.71357989108849, -87.58864662821291 41.71073573779563, -87.58262650173167 41.712533401001394, -87.58197534730088 41.71717567170337, -87.58734546552422 41.720020338040634))"
882664ccb5fffff,"POLYGON ((-87.60540633548558 41.71462524040217, -87.61142551091302 41.71282637787446, -87.61207360302714 41.70818435761843, -87.60670366574637 41.70534125823464, -87.6006852102758 41.70713966631831, -87.60003597216163 41.71178162817755, -87.60540633548558 41.71462524040217))"
882664cf2dfffff,"POLYGON ((-87.68589130032419 41.841940547976066, -87.69192272637808 41.840133942281554, -87.69256437919837 41.83548469728452, -87.68717575859375 41.8326421145081, -87.68114505375591 41.83444826380049, -87.68050224833881 41.83909745221893, -87.68589130032419 41.841940547976066))"
882664d9a5fffff,"POLYGON ((-87.79258628814057 41.99289396022124, -87.79863166449424 41.99107759712049, -87.79926447813342 41.98641984866344, -87.79385307595109 41.98357851741821, -87.78780842191196 41.98539442165724, -87.78717444777232 41.99005211595045, -87.79258628814057 41.99289396022124))"
882664ccedfffff,"POLYGON ((-87.61096238434389 41.75746098760968, -87.61698683632999 41.755660597143546, -87.61763496143452 41.75101613828273, -87.61225978272836 41.748172128092115, -87.60623605184682 41.74997206372702, -87.60558677859946 41.75461646433145, -87.61096238434389 41.75746098760968))"
8826645239fffff,"POLYGON ((-87.78009785843577 41.786932580962926, -87.78611701475775 41.785122875788616, -87.78674829046217 41.780476779754274, -87.78136156003441 41.7776404433865, -87.7753431200361 41.77944969138297, -87.77471069417321 41.78409573287259, -87.78009785843577 41.786932580962926))"
882664cf2bfffff,"POLYGON ((-87.66972591768135 41.83341068290551, -87.67575710391237 41.83160513565729, -87.67640028993956 41.82695637124709, -87.67101344188613 41.82411321096912, -87.66498297715067 41.82591830208219, -87.66433863900536 41.8305670095559, -87.66972591768135 41.83341068290551))"
882664d895fffff,"POLYGON ((-87.66180401900185 41.97403846293096, -87.66785402459229 41.97222921858185, -87.6684999815455 41.96757250203506, -87.66309709206901 41.96472508682918, -87.65704781264948 41.96653387410503, -87.65640069656817 41.97119053360734, -87.66180401900185 41.97403846293096))"
882664cc4bfffff,"POLYGON ((-87.59843608938493 41.80572230472476, -87.6044675055923 41.80392113482435, -87.60511758563607 41.7992739320469, -87.59973740000392 41.79642795762638, -87.59370670682911 41.79822867249743, -87.59305547628666 41.80287581676597, -87.59843608938493 41.80572230472476))"
882664cd05fffff,"POLYGON ((-87.70974255479034 41.79468814584442, -87.71576653006665 41.79288172822172, -87.71640509333281 41.78823517048517, -87.71102083167528 41.785395086398374, -87.70499757533803 41.78720104766855, -87.70435786175113 41.79184754932562, -87.70974255479034 41.79468814584442))"
882664c1a9fffff,"POLYGON ((-87.62769200190127 41.886095964099425, -87.6337323383963 41.88429098895833, -87.63438055651959 41.87963923409845, -87.62898959278748 41.87679251215983, -87.62294998085586 41.87859703130793, -87.62230060812564 41.8832487283351, -87.62769200190127 41.886095964099425))"
882664ca59fffff,"POLYGON ((-87.6818859485877 41.95464123111088, -87.68793232558255 41.952831541577254, -87.6885759544881 41.94817592198949, -87.68317436465267 41.94533004849551, -87.67712871253757 41.94713928084487, -87.6764839254106 41.9517948438198, -87.6818859485877 41.95464123111088))"
882664cc0bfffff,"POLYGON ((-87.60706703573146 41.78533390730435, -87.61309532896459 41.78353289907601, -87.61374424190718 41.77888685505462, -87.60836601116343 41.776041877538376, -87.60233844003541 41.777842430778705, -87.60168837757868 41.78248841647092, -87.60706703573146 41.78533390730435))"
882664cca5fffff,"POLYGON ((-87.62624684721897 41.73064082327102, -87.6322669858182 41.728840451678494, -87.6329131776485 41.7241975214931, -87.62754037777604 41.721355020782454, -87.6215209589329 41.723154937549104, -87.62087362023851 41.727797809799966, -87.62624684721897 41.73064082327102))"
