hex_index,polygon
882a134f45fffff,"POLYGON ((-75.10291486693811 39.9944833965878, -75.10917178965983 39.99337718997839, -75.11100192105486 39.98894029118256, -75.10657603604702 39.98560990673649, -75.10032008887254 39.98671587374248, -75.0984890512609 39.99115246476597, -75.10291486693811 39.9944833965878))"
882a134aa1fffff,"POLYGON ((-75.15346833418872 40.02668277539791, -75.15972849643414 40.02557342256181, -75.1615551736701 40.02113382815321, -75.15712259731067 40.017803893582986, -75.1508634111015 40.01891300572954, -75.14903582531774 40.023352293103684, -75.15346833418872 40.02668277539791))"
882a134111fffff,"POLYGON ((-75.0514309073131 40.04882736495263, -75.05769606404489 40.04772325159354, -75.05953308718236 40.043284113320965, -75.05510586087303 40.03994939732782, -75.04884168278738 40.041053271894484, -75.04700375246773 40.045492101214734, -75.0514309073131 40.04882736495263))"
882a134027fffff,"POLYGON ((-75.03004751820215 40.044362944354106, -75.03631251131984 40.04326004545894, -75.03815134850285 40.038821525269235, -75.03372609921551 40.035486213251495, -75.02746208491233 40.036588873783224, -75.02562234118484 40.041027084664236, -75.03004751820215 40.044362944354106))"
882a134a8dfffff,"POLYGON ((-75.12659480106177 40.03555655021279, -75.13285668399503 40.0344485373875, -75.1346862036269 40.03000888741436, -75.13025474873453 40.026677557789256, -75.12399384265163 40.0277853304137, -75.12216341471311 40.032224672832, -75.12659480106177 40.03555655021279))"
882a134ae5fffff,"POLYGON ((-75.1505899856403 40.047774745041835, -75.15685300079278 40.04666527717529, -75.15868076089762 40.04222452415777, -75.15424641524906 40.03889354616365, -75.14798437705231 40.040002773324076, -75.14615570765078 40.04444321915258, -75.1505899856403 40.047774745041835))"
882a1349d3fffff,"POLYGON ((-75.22333976744511 39.99781613555037, -75.2295946825592 39.99670337829364, -75.23141374869289 39.99226426695843, -75.22697880876042 39.98893821849985, -75.22072486732463 39.990050733818634, -75.21890489224472 39.99448953950165, -75.22333976744511 39.99781613555037))"
882a134ae1fffff,"POLYGON ((-75.13989276981765 40.04555207959795, -75.14615570765078 40.04444321915258, -75.14798437705231 40.040002773324076, -75.14355101770245 40.03667149527681, -75.1372890569115 40.03778011523031, -75.13545947853063 40.04222025369081, -75.13989276981765 40.04555207959795))"
882a134105fffff,"POLYGON ((-75.07800718175102 40.0688386021056, -75.08427445808167 40.06773279529107, -75.08610978704819 40.06329206327023, -75.08167874831706 40.059957446612195, -75.07541245102135 40.06106301405226, -75.07357621352467 40.065503437492815, -75.07800718175102 40.0688386021056))"
882a134001fffff,"POLYGON ((-74.99245186445043 40.05097350407639, -74.99871848406264 40.049872557908394, -75.00056107233739 40.045434299525255, -74.99613794707959 40.042097297284634, -74.98987230717529 40.04319800579508, -74.98802881292397 40.047635954171874, -74.99245186445043 40.05097350407639))"
882aacb213fffff,"POLYGON ((-75.21857433099733 39.92462133159983, -75.22481967020897 39.92350978188997, -75.22663636679226 39.919074953879004, -75.2222086303 39.91575198092457, -75.21596426183714 39.9168632890413, -75.21414665921904 39.9212978116734, -75.21857433099733 39.92462133159983))"
882a1348b1fffff,"POLYGON ((-75.19413062396411 39.970092378783264, -75.20038246982004 39.96898155814597, -75.2022031847959 39.96454452582567, -75.19777296126992 39.9612186201458, -75.19152208843926 39.962329199503614, -75.189700466211 39.966765925788614, -75.19413062396411 39.970092378783264))"
882aacb255fffff,"POLYGON ((-75.21834272143055 39.95344827885321, -75.22459187272496 39.95233636707184, -75.2264096978812 39.947899885858526, -75.22197927897933 39.9445756219184, -75.21573109962144 39.94568729201141, -75.21391236733037 39.950123467700664, -75.21834272143055 39.95344827885321))"
882a134ad3fffff,"POLYGON ((-75.09192315023081 40.02110922385168, -75.09818381977391 40.02000327149587, -75.10001600349108 40.01556503331067, -75.09558842476687 40.012233055547604, -75.08932873205276 40.01333876842179, -75.08749564133629 40.01777669850865, -75.09192315023081 40.02110922385168))"
882a134857fffff,"POLYGON ((-75.17746628274537 40.0388940471819, -75.1837275740291 40.037783239201524, -75.18555249032917 40.03334254266123, -75.18111702498433 40.03001296073727, -75.17485670984061 40.03112352752296, -75.17303088400391 40.035563917395095, -75.17746628274537 40.0388940471819))"
882a134a91fffff,"POLYGON ((-75.10810699239325 40.010020656524404, -75.11436586704232 40.00891397047835, -75.11619611725891 40.00447609400468, -75.1117683998538 40.00114521130198, -75.10551050130724 40.0022516575914, -75.10367934416558 40.00668922630815, -75.10810699239325 40.010020656524404))"
882a13481bfffff,"POLYGON ((-75.17224799822334 40.023353743954125, -75.17850733750431 40.02224341828607, -75.18033213951531 40.017803699021776, -75.17589851117344 40.01447461207808, -75.169640147478 40.0155846967055, -75.167814436641 40.020024109285075, -75.17224799822334 40.023353743954125))"
882a134f2dfffff,"POLYGON ((-75.13785168174743 39.98007521369101, -75.14410599193435 39.97896730383938, -75.14593232080294 39.97453064273159, -75.14150524600731 39.97120219852576, -75.13525191019382 39.972309868148756, -75.13342467490452 39.97674622217416, -75.13785168174743 39.98007521369101))"
882a134321fffff,"POLYGON ((-75.04005650481967 40.10434840852128, -75.04632925671038 40.103244208800405, -75.04816949763422 40.09880209394762, -75.04373789583875 40.09546448821191, -75.03746612508526 40.09656844917335, -75.03562497509328 40.101010254597966, -75.04005650481967 40.10434840852128))"
882a134113fffff,"POLYGON ((-75.04884168278738 40.041053271894484, -75.05510586087303 40.03994939732782, -75.05694282262436 40.03551074737468, -75.05251651322013 40.03217628091596, -75.0462533135015 40.033279916766574, -75.04441544492283 40.03771825776, -75.04884168278738 40.041053271894484))"
882a134aadfffff,"POLYGON ((-75.1560741173157 40.034453281617324, -75.16233525587485 40.03334368801479, -75.16416199093145 40.028903604989964, -75.15972849643414 40.02557342256181, -75.15346833418872 40.02668277539791, -75.15164069022914 40.03112255139641, -75.1560741173157 40.034453281617324))"
882a134323fffff,"POLYGON ((-75.03746612508526 40.09656844917335, -75.04373789583875 40.09546448821191, -75.04557807484767 40.09102286108655, -75.04114739191844 40.08768550432629, -75.03487660202194 40.088789226604696, -75.03303551430088 40.09323054429444, -75.03746612508526 40.09656844917335))"
882a134f65fffff,"POLYGON ((-75.13236877616782 39.9933864138113, -75.13862495846053 39.99227862927347, -75.14045231085498 39.98784129716044, -75.13602438787142 39.984512056798245, -75.12976918059198 39.985619601167755, -75.12794092138495 39.99005662603572, -75.13236877616782 39.9933864138113))"
882a134303fffff,"POLYGON ((-75.00794712973669 40.09764199667372, -75.01421963347998 40.096539622961885, -75.0160626006479 40.0920984369293, -75.01163397228339 40.08875993454036, -75.00536244992959 40.08986207013776, -75.00351857465411 40.09430294620667, -75.00794712973669 40.09764199667372))"
882a13418dfffff,"POLYGON ((-75.0517648594506 40.01996622950242, -75.0580261847395 40.018862464360744, -75.05986205584759 40.01442497102082, -75.05543750785155 40.011091551594355, -75.04917716000882 40.0121950780347, -75.04734038281855 40.01663226257094, -75.0517648594506 40.01996622950242))"
882aacb2d1fffff,"POLYGON ((-75.18941319225587 39.896923411201485, -75.19565547104996 39.89581379312347, -75.1974738106986 39.89138104580236, -75.19305077600319 39.888058222287164, -75.18680946730751 39.88916759942884, -75.18499022331008 39.893600040989895, -75.18941319225587 39.896923411201485))"
882a134333fffff,"POLYGON ((-75.02158943446932 40.07877621028236, -75.02785916127326 40.07767333471579, -75.02970012425155 40.07323299272671, -75.02527226821002 40.069895835901086, -75.01900352178694 40.07099847315216, -75.01716165112768 40.07543850551247, -75.02158943446932 40.07877621028236))"
882a134f61fffff,"POLYGON ((-75.12168481701462 39.99116380465084, -75.12794092138495 39.99005662603572, -75.12976918059198 39.985619601167755, -75.1253422420268 39.98229006230633, -75.11908711275545 39.98339700096694, -75.11725794705242 39.98783371841143, -75.12168481701462 39.99116380465084))"
