hex_index,polygon
882aa8c2c7fffff,"POLYGON ((-76.60426740465614 39.335819964419, -76.61040516503289 39.334642962421626, -76.61207161992571 39.33022090907768, -76.60760122612551 39.32697613544491, -76.6014643888009 39.32815287194994, -76.59979702231583 39.3325746475454, -76.60426740465614 39.335819964419))"
882aa8c2a5fffff,"POLYGON ((-76.64888824813727 39.323152383699664, -76.65502330675007 39.321973230682666, -76.65668517848825 39.31755128139415, -76.65221290366355 39.31430876196978, -76.6460787667985 39.31548764872352, -76.64441598310157 39.31990932113013, -76.64888824813727 39.323152383699664))"
882aa8c06dfffff,"POLYGON ((-76.7026032642583 39.362066971340774, -76.708742055856 39.360884390330746, -76.71040029914258 39.356459349053026, -76.70592066539974 39.35321716482625, -76.69978279607672 39.354399478422735, -76.69812363831302 39.3588242436246, -76.7026032642583 39.362066971340774))"
882aa8c769fffff,"POLYGON ((-76.59806093137907 39.2918965397984, -76.60419317169345 39.29072054078793, -76.6058586636388 39.28630119102303, -76.60139282515196 39.2830581179004, -76.59526150629856 39.28423385171295, -76.59359510456227 39.28865292381143, -76.59806093137907 39.2918965397984))"
882aa8c283fffff,"POLYGON ((-76.60646463018006 39.31488897650066, -76.61259963635487 39.313712181398074, -76.61426515423844 39.309291340738575, -76.60979657687047 39.30604757276293, -76.60366249289547 39.307224102418395, -76.60199606417996 39.311644665462, -76.60646463018006 39.31488897650066))"
882aa8c2ddfffff,"POLYGON ((-76.58305208864473 39.33168125312984, -76.5891898199414 39.33050543084791, -76.5908580977363 39.32608393318438, -76.5863895553534 39.32283853588345, -76.58025274733376 39.32401409308156, -76.57858355851154 39.32843531262981, -76.58305208864473 39.33168125312984))"
882aa8c0c5fffff,"POLYGON ((-76.66166894159744 39.30428686741693, -76.66780125995166 39.30310733485832, -76.66946128724196 39.29868632294328, -76.66498990774781 39.295445120118536, -76.65885851017711 39.296624386256106, -76.65719757140808 39.30104512160472, -76.66166894159744 39.30428686741693))"
882aa8c0edfffff,"POLYGON ((-76.68287909998665 39.30840976693335, -76.68901144082032 39.307229056062546, -76.69066964431063 39.30280749156567, -76.6861964190986 39.299566914103856, -76.68006499882078 39.300747358146076, -76.67840588329008 39.30516864644388, -76.68287909998665 39.30840976693335))"
882aa8c72bfffff,"POLYGON ((-76.60805290357406 39.26538414097476, -76.6141814881984 39.26420802627141, -76.61584512665917 39.25979011044753, -76.61138108955444 39.256548586659974, -76.6052534251831 39.257724436089966, -76.60358887775453 39.26214207454627, -76.60805290357406 39.26538414097476))"
882aa8c061fffff,"POLYGON ((-76.69978279607672 39.354399478422735, -76.70592066539974 39.35321716482625, -76.70757890327367 39.34879262001512, -76.70310018604418 39.34555066485914, -76.69696323875006 39.34673271112573, -76.69530408674764 39.35115697984328, -76.69978279607672 39.354399478422735))"
882aa8c041fffff,"POLYGON ((-76.67075084930312 39.355882045018326, -76.67688960891617 39.35470123567445, -76.67855059478984 39.35027702317713, -76.6740737347743 39.34703389661739, -76.66793589777942 39.34821443916027, -76.66627399827318 39.352638375029045, -76.67075084930312 39.355882045018326))"
882aa8c287fffff,"POLYGON ((-76.61706912735407 39.31695618068201, -76.62320414730146 39.315778796188084, -76.62486875407122 39.31135767809607, -76.62039925209868 39.30811422189583, -76.61426515423844 39.309291340738575, -76.61259963635487 39.313712181398074, -76.61706912735407 39.31695618068201))"
882aa8c003fffff,"POLYGON ((-76.68071580015456 39.32934046613371, -76.68685089345173 39.328159544072655, -76.68851002762575 39.32373676524109, -76.68403498139624 39.32049518476623, -76.67790080950535 39.32167583995212, -76.67624076252875 39.32609834245319, -76.68071580015456 39.32934046613371))"
882aa8d50dfffff,"POLYGON ((-76.55740367948881 39.36941206125284, -76.5635468948633 39.36823701035635, -76.5652188775394 39.36381364698864, -76.56074855691494 39.36056561323114, -76.55460626675043 39.36174039936371, -76.55293337209226 39.36616348398307, -76.55740367948881 39.36941206125284))"
882aa8c239fffff,"POLYGON ((-76.63391199642595 39.362960499875044, -76.64005255407196 39.36178151972627, -76.64171720821774 39.3573574218855, -76.6372422180103 39.35411258148853, -76.63110258393063 39.355291295486616, -76.62943701658355 39.359715115997574, -76.63391199642595 39.362960499875044))"
882aa8c231fffff,"POLYGON ((-76.64171720821774 39.3573574218855, -76.64785685506186 39.356178117416775, -76.64952058840095 39.35175423885756, -76.64504558812251 39.348509941895415, -76.63890686448455 39.349688980092466, -76.6372422180103 39.35411258148853, -76.64171720821774 39.3573574218855))"
882aa8c0c7fffff,"POLYGON ((-76.65885851017711 39.296624386256106, -76.66498990774781 39.295445120118536, -76.66664992829568 39.29102460520899, -76.66217946249539 39.28778363298598, -76.65604898546276 39.28896263278588, -76.65438805378335 39.293382871111724, -76.65885851017711 39.296624386256106))"
882aa8c28bfffff,"POLYGON ((-76.5986622781304 39.3204865074786, -76.60479819264957 39.31931003638281, -76.60646463018006 39.31488897650066, -76.60199606417996 39.311644665462, -76.5958610722196 39.312820871231665, -76.59419372379195 39.31724165333148, -76.5986622781304 39.3204865074786))"
882aa8c211fffff,"POLYGON ((-76.61268188758397 39.35882560754291, -76.61882241859827 39.357647808569496, -76.62048889886417 39.353224265572216, -76.61601576084354 39.34997879921111, -76.60987615362203 39.35115633244265, -76.6082087607199 39.35557959774248, -76.61268188758397 39.35882560754291))"
882aa8c2a3fffff,"POLYGON ((-76.63547329179197 39.31342311419096, -76.64160741609737 39.312244816798966, -76.6432701922795 39.307823641234464, -76.6387997555772 39.30458104010993, -76.63266655288689 39.30575907152594, -76.63100286537497 39.31017997000777, -76.63547329179197 39.31342311419096))"
882aa8d555fffff,"POLYGON ((-76.53617761169019 39.36526292447537, -76.54232079401844 39.364089055041255, -76.54399460037494 39.359666249353616, -76.53952613590964 39.35641759218064, -76.53338387901479 39.35759119726022, -76.5317091612438 39.36201372383277, -76.53617761169019 39.36526292447537))"
882aa8c751fffff,"POLYGON ((-76.56068264694058 39.27036438266654, -76.56681299893087 39.26919067873244, -76.56848119958761 39.26477315690279, -76.56401995659812 39.26152961722096, -76.55789052591159 39.26270305673457, -76.55622141700204 39.267120300316, -76.56068264694058 39.27036438266654))"
882aa8c761fffff,"POLYGON ((-76.6058586636388 39.28630119102303, -76.61198999671478 39.28512486863504, -76.61365457011013 39.28070573847779, -76.60918872024644 39.27746320817409, -76.60305830827308 39.278639265243335, -76.60139282515196 39.2830581179004, -76.6058586636388 39.28630119102303))"
882aa8c011fffff,"POLYGON ((-76.66729252625828 39.31961401190345, -76.67342668691622 39.31843394625263, -76.67508672742095 39.31401194054175, -76.67061351953254 39.31077027697866, -76.66448028014926 39.311950076041654, -76.66281932747084 39.31637180522077, -76.66729252625828 39.31961401190345))"
882aa8c087fffff,"POLYGON ((-76.67162814082712 39.27776449597326, -76.67775680090837 39.27658485191623, -76.67941497966589 39.27216527573189, -76.67494540908486 39.2689256198384, -76.66881766857907 39.27010499740052, -76.66715857916967 39.27452429731632, -76.67162814082712 39.27776449597326))"
882aa8c223fffff,"POLYGON ((-76.6551458626368 39.36709177644116, -76.66128644514106 39.36591161488439, -76.66294927203744 39.36148696293591, -76.65847243028678 39.35824274947122, -76.65233277112148 39.3594226444686, -76.6506690304593 39.36384701945526, -76.6551458626368 39.36709177644116))"
882aa8c2d7fffff,"POLYGON ((-76.58805782381663 39.3184175349487, -76.59419372379195 39.31724165333148, -76.5958610722196 39.312820871231665, -76.59139343137836 39.309576248680024, -76.5852584540742 39.31075186517526, -76.58359019503156 39.3151723693095, -76.58805782381663 39.3184175349487))"
882aa8c291fffff,"POLYGON ((-76.59306077064379 39.30515596343559, -76.59919484029189 39.30398002290898, -76.60086126010329 39.29955995677557, -76.59639452056076 39.296316108950094, -76.59026137297843 39.29749178431667, -76.5885940429642 39.30191157263412, -76.59306077064379 39.30515596343559))"
